[2017-02-15 23:59:02.578][      TEST] --->>> MainBegin
[2017-02-15 23:59:02.867][   ACCOUNT] MockAccountOpeStore load
[2017-02-15 23:59:02.868][   ACCOUNT] MockAccountOpeStore storeInit (no file)
[2017-02-15 23:59:02.902][   ACCOUNT]  @MockAccountOpe Construct AccountID:mock001 Password:mock001_password money:100000.00 transactionCostsRatio:0.0016
[2017-02-15 23:59:02.904][   ACCOUNT] AccountStore storeInit (no file)
[2017-02-15 23:59:02.906][   ACCOUNT]     ---ACCOUNT---INFO---
[2017-02-15 23:59:02.907][   ACCOUNT]     -TotalAssets: 100000.000
[2017-02-15 23:59:02.907][   ACCOUNT]     -AvailableMoney: 100000.000
[2017-02-15 23:59:03.050][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000003)  error(-1)
[2017-02-15 23:59:03.053][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000013)  error(-1)
[2017-02-15 23:59:03.054][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000015)  error(-1)
[2017-02-15 23:59:03.056][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000024)  error(-1)
[2017-02-15 23:59:03.059][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000033)  error(-1)
[2017-02-15 23:59:03.061][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000047)  error(-1)
[2017-02-15 23:59:03.068][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000405)  error(-1)
[2017-02-15 23:59:03.068][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000406)  error(-1)
[2017-02-15 23:59:03.069][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000412)  error(-1)
[2017-02-15 23:59:03.076][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000508)  error(-1)
[2017-02-15 23:59:03.077][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000515)  error(-1)
[2017-02-15 23:59:03.079][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000522)  error(-1)
[2017-02-15 23:59:03.080][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000527)  error(-1)
[2017-02-15 23:59:03.081][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000535)  error(-1)
[2017-02-15 23:59:03.083][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000542)  error(-1)
[2017-02-15 23:59:03.085][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000549)  error(-1)
[2017-02-15 23:59:03.086][   WARNING] (CTRL) LoadStockIDSet stockDataIF.getLatestStockInfo stockID(000556)  error(-1)
